,model_name,precision,recall,f1_score,roc_auc,coverage,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,Test_Year
99,XG Boost Classifier,0.5109103707179727,0.31489515545914676,0.3896394381318779,0.5013303932678966,0.3212239975881821,3,0.05,250,0.8,0.8,2022
100,XG Boost Classifier,0.7142857142857143,0.11835026897788405,0.20305609681058354,0.5385238755542439,0.10492448616525984,3,0.05,250,0.8,0.8,2023
101,XG Boost Classifier,0.5972161809482384,0.09793152639087019,0.1682701145903548,0.5203256499322204,0.08653267088226438,3,0.05,250,0.8,0.8,2024
102,XG Boost Classifier,0.5835922933499068,0.35503629764065336,0.4414876110771545,0.5601355516063218,0.3156015848730925,3,0.05,250,0.8,1.0,2019
103,XG Boost Classifier,0.6327439600485896,0.29744305564367746,0.404661199827363,0.6043926014479641,0.2799863955861235,3,0.05,250,0.8,1.0,2020
104,XG Boost Classifier,0.5828714464509208,0.22211623628806976,0.321657622101628,0.5270742114441679,0.210770274344287,3,0.05,250,0.8,1.0,2021
105,XG Boost Classifier,0.5172257479601088,0.33000723065798987,0.4029310497042465,0.5067359389424255,0.33252939403075066,3,0.05,250,0.8,1.0,2022
106,XG Boost Classifier,0.6982562547384382,0.11010161386730424,0.19021065675340768,0.5352731022671183,0.09985237896968091,3,0.05,250,0.8,1.0,2023
107,XG Boost Classifier,0.600390815828041,0.087660485021398,0.15298437791747058,0.5171267212648082,0.07704757603131587,3,0.05,250,0.8,1.0,2024
108,XG Boost Classifier,0.5939132706374086,0.3438445251058681,0.4355363984674329,0.5615272829522949,0.3003412969283277,3,0.05,250,1.0,0.8,2019
109,XG Boost Classifier,0.6297229219143576,0.28551487849755725,0.3928930021390841,0.5983208337232485,0.27004761544856776,3,0.05,250,1.0,0.8,2020
110,XG Boost Classifier,0.579262405869859,0.20440144443687402,0.3021756647864625,0.527244902191378,0.19516882725354237,3,0.05,250,1.0,0.8,2021
111,XG Boost Classifier,0.5057499690861877,0.2957339117859725,0.37322626271843773,0.5003845974806626,0.3047558034368405,3,0.05,250,1.0,0.8,2022
112,XG Boost Classifier,0.7000808407437349,0.10352659892408847,0.18037908769006458,0.5362731178750596,0.09364472538703206,3,0.05,250,1.0,0.8,2023
113,XG Boost Classifier,0.6356911696717522,0.09807417974322397,0.16993140950380028,0.5191586902585086,0.08141373080397471,3,0.05,250,1.0,0.8,2024
114,XG Boost Classifier,0.591205011669328,0.36395946763460374,0.4505499648958577,0.55836698664436,0.3193676199442941,3,0.05,250,1.0,1.0,2019
115,XG Boost Classifier,0.636039886039886,0.28329420722035403,0.3919933277731443,0.5954153909894861,0.265286070591792,3,0.05,250,1.0,1.0,2020
116,XG Boost Classifier,0.5786391042204996,0.2288614839544866,0.327995312957719,0.5215849292712802,0.21875942116370214,3,0.05,250,1.0,1.0,2021
117,XG Boost Classifier,0.5201648841354723,0.33759942154736083,0.4094536525475752,0.5003469702882896,0.3382574615616521,3,0.05,250,1.0,1.0,2022
118,XG Boost Classifier,0.6880943324457969,0.1081291093843395,0.18688981868898188,0.5391817348590784,0.09951171505355993,3,0.05,250,1.0,1.0,2023
119,XG Boost Classifier,0.5943238731218697,0.07617689015691868,0.13504457229563127,0.5089837477723204,0.06763775971093045,3,0.05,250,1.0,1.0,2024
120,XG Boost Classifier,0.5826387998461341,0.34361766485178463,0.4322884459877277,0.5573196050115226,0.30595112000313834,3,0.05,350,0.8,0.8,2019
121,XG Boost Classifier,0.6311752071187481,0.2610240466975446,0.36931639660667,0.5968287472989571,0.24631547124178066,3,0.05,350,0.8,0.8,2020
122,XG Boost Classifier,0.6001689189189189,0.24207944402807113,0.3450016992765937,0.5324574665080704,0.22309315646668676,3,0.05,350,0.8,0.8,2021
123,XG Boost Classifier,0.5148806155935273,0.3289949385394071,0.4014646843428773,0.5039005803305843,0.33301929454326196,3,0.05,350,0.8,0.8,2022
